year;country;region;gini;inflation;unemployment;gdp;gdpgrowth;gdppercap;imports;exports;netexp;netexppergdp;fdi;fdipergdp;incometax;tradetax;population;education
2020;Albania;Europe;31,53;1,620886617;13,067;15162734205;-3,302082039;5343,037704;6307664724;3846951284;-2460713440;-16,22869205;-1019647592;-6,724694759;15,36713044;1,566248117;2837849;9,906831683
2020;Algeria;Africa;36,99777778;2,415130941;12,248;1,45744E+11;-5,1;3354,157303;46188173962;25747760549;-20440413414;-14,02490139;-1129312784;-0,77486204;24,97268907;6,688543741;43451666;9,906831683
2020;Angola;Africa;51,3;22,27156431;10,35;50241368244;-5,638214717;1502,950754;20605633410;21540234146;934600735,9;1,860221504;1956982582;3,895161797;24,97268907;6,688543741;33428486;9,906831683
2020;Argentina;Latin America and the Caribbean;41,92;8,340346517;11,46;3,8554E+11;-9,943235134;8496,428157;66503592866;68477143582;1973550716;0,511892056;-3430171631;-0,889704833;9,429601194;13,38199655;45376763;11
2020;Armenia;Asia;36,99777778;1,211435778;12,18;12641698594;-7,199999999;4505,867746;5738659207;4278301759;-1460357449;-11,55190845;-85861619,24;-0,679193691;36,18382614;4,410599919;2805608;11,4
2020;Australia;Oceania;34;0,846905537;6,46;1,32694E+12;-0,050885336;51722,069;3,08885E+11;3,42776E+11;33890718551;2,554041656;-7014662733;-0,528632664;64,50440723;3,829482322;25655289;12,5
2020;Austria;Europe;30,3;1,381910634;5,36;4,35225E+11;-6,453968467;48809,22688;2,38018E+11;2,54871E+11;16853042255;3,872257577;12427320061;2,855376705;26,00003784;6,688543741;8916864;12,2
2020;Azerbaijan;Asia;36,99777778;2,75980947;7,16;42693000000;-4,300000102;4229,910649;17849644000;17064300000;-785344000;-1,839514675;318126200;0,745148385;13,16461976;4,361273544;10093121;10,5
2020;Bahamas;Latin America and the Caribbean;36,99777778;0,038521098;12,867;9754600000;-23,50817631;23998,26802;3885882473;1685892616;-2199989857;-22,55335797;-374764298,2;-3,841923791;24,97268907;19,43866824;406471;9,906831683
2020;Bangladesh;Asia;32,4;5,691074747;5,209;3,73902E+11;3,448025628;2233,305893;59835136507;38693585663;-21141550845;-5,65429972;-1520504559;-0,406658365;27,27898458;8,607704287;167420951;6,45
2020;Belarus;Europe;25,2;5,548143575;4,05;61371755326;-0,672904125;6542,86454;38692300000;38061000000;-631300000;-1,028649086;-1310500000;-2,135347104;1,391172865;9,195283651;9379952;12,1
